num_zones,num_iterations,occSch,hc,cc,bb,fn,lt,eq,RM4534_sensor,RM4532_sensor,RM4530_sensor,RM4528_sensor,RM4527_sensor,RM4525_sensor,RM4523_sensor,RM4522_sensor,RM4521_sensor,RM4514D_sensor,RM4514C_sensor,RM4514_sensor,RM4514B_sensor,RM4514A_sensor,RM4520_sensor,RM4524_sensor,RM4526_sensor,RM4535_sensor,RM4533_sensor,RM4537_sensor,RM4536_sensor,RM4539_sensor,RM4541_sensor,RM4543_sensor,RM4513_sensor,RM4500_sensor,RM4534_co2,RM4532_co2,RM4530_co2,RM4528_co2,RM4527_co2,RM4525_co2,RM4523_co2,RM4522_co2,RM4521_co2,RM4514D_co2,RM4514C_co2,RM4514_co2,RM4514B_co2,RM4514A_co2,RM4520_co2,RM4524_co2,RM4526_co2,RM4535_co2,RM4533_co2,RM4537_co2,RM4536_co2,RM4539_co2,RM4541_co2,RM4543_co2,RM4513_co2,RM4500_co2,RM4534_Tza,RM4532_Tza,RM4530_Tza,RM4528_Tza,RM4527_Tza,RM4525_Tza,RM4523_Tza,RM4522_Tza,RM4521_Tza,RM4514D_Tza,RM4514C_Tza,RM4514_Tza,RM4514B_Tza,RM4514A_Tza,RM4520_Tza,RM4524_Tza,RM4526_Tza,RM4535_Tza,RM4533_Tza,RM4537_Tza,RM4536_Tza,RM4539_Tza,RM4541_Tza,RM4543_Tza,RM4513_Tza,RM4500_Tza
1,1,1,46.91288933,80.26949415,105.1380921,15.69853097,52.03923996,53.7948,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,78.5,23.5,326.75,189.75,284.5,519.25,33,245.75,48.25,121.25,28.75,1449.75,330,491.5,751,883.5,181.5,60,991.75,2153.5,282.5,667,330.75,589.5,328,0
1,1,2,41.71713072,73.36712751,104.8863138,15.85717248,49.54538951,47.034,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.5,0,0,0,0,0,0,55,408.75,255.75,10,324.75,871.5,364.75,305,24.25,85,105,476.75,194.25,532.25,74.5,112.5,98,76.5,1151,2150,869,634.5,1786.25,356.25,737,0
1,1,3,43.95627767,86.66149192,103.2734926,15.96319937,54.64544429,58.09212,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.75,723,110.5,10.75,576.5,908.25,908,58.5,207.75,49.75,84.5,385.5,14,32,448.5,697.75,773.75,38.75,3228.25,312.25,616.75,256,560.75,376.25,955.5,0
1,1,4,42.5932249,98.67013948,103.5742401,17.17693335,59.64946351,77.95764,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,87,649.75,15.5,444,398.75,353.75,200.75,259.25,77,565.5,274.75,307.5,562.25,801.25,303.25,704.75,15.25,39,1140.75,1149.25,1901.25,463.75,261.5,713,354,0
1,1,5,49.61114222,95.96259251,98.24358945,17.49449451,56.52316742,112.51224,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,81.25,210.25,10.5,312.75,537.5,319,759.25,72.25,22.5,9.25,234,236.75,235.5,67.5,553.25,204.75,656.25,422.25,879,639.25,1963.5,824,632.5,398.5,2334.5,0
1,1,6,49.45851672,89.84833683,104.4223323,17.65659331,55.66727994,65.53116,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.25,203,89.25,269,359.25,814.5,95,479.5,9,471.5,269.75,206.25,109.5,745.25,384.25,750,513.75,409.75,3190.25,368.25,590.25,1317.5,286.75,359.5,352.5,0
1,1,7,41.73933104,81.71591399,105.4852077,15.8421923,47.69887131,45.95184,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,0,6,96,695.5,10.75,342,676.75,575.25,247.25,306,459.25,39.75,377.25,364.75,90.25,570.25,103,367.5,37,1111.75,1835.75,380.75,798,851.75,793.5,570.5,0
1,1,8,41.37921037,81.74178807,108.1236648,15.83705828,49.44895608,42.8895,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,274.75,49.75,12.5,439.25,2156.5,232.25,95,37.5,334.5,41.5,378,624.25,12.5,200.5,137.75,559,42,852,434,873.25,249.5,416.75,979.25,778.75,0
1,1,9,45.18296736,77.41870108,100.8512982,16.34730945,51.36563081,72.50256,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.25,190.5,12.75,298.75,33,754,439.25,314.75,30.5,651,314.75,459.25,61,274,351,423.75,31,733.75,1022,591.25,985.25,1610.5,434.75,452.5,482.25,0
1,1,10,42.38515633,83.73071922,102.7823431,15.88031793,50.38159485,56.42838,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,8.5,565.75,61.75,101,322.25,676.75,164.25,58.75,221,96.5,7.25,419.75,308,486.75,995,489.5,1159.5,592.75,896,1009,629,343,603.5,999,2511.25,0
