Am2
12.42
13.16
14.05
12.82
13.4
29.25
14.45
13.85
16.02
13.02
13.43
43.53
11.91
11.55
12.51
13.25
10.46
10.79
69.25
13.92
119.28
16.68
16.99
20.01
29.62
96.23
