Vp
0.00623
0.00645
0.00672
0.00635
0.00652
0.03755
0.00684
0.00666
0.00731
0.00641
0.00653
0.02056
0.00607
0.00597
0.00625
0.00648
0.00564
0.00574
0.03078
0.02168
0.05078
0.00750
0.00760
0.01100
0.01389
0.02887
