num_zones,num_iterations,occSch,hc,cc,bb,fn,lt,eq,RM4534_sensor,RM4532_sensor,RM4530_sensor,RM4528_sensor,RM4527_sensor,RM4525_sensor,RM4523_sensor,RM4522_sensor,RM4521_sensor,RM4514D_sensor,RM4514C_sensor,RM4514_sensor,RM4514B_sensor,RM4514A_sensor,RM4520_sensor,RM4524_sensor,RM4526_sensor,RM4535_sensor,RM4533_sensor,RM4537_sensor,RM4536_sensor,RM4539_sensor,RM4541_sensor,RM4543_sensor,RM4513_sensor,RM4500_sensor,RM4534_co2,RM4532_co2,RM4530_co2,RM4528_co2,RM4527_co2,RM4525_co2,RM4523_co2,RM4522_co2,RM4521_co2,RM4514D_co2,RM4514C_co2,RM4514_co2,RM4514B_co2,RM4514A_co2,RM4520_co2,RM4524_co2,RM4526_co2,RM4535_co2,RM4533_co2,RM4537_co2,RM4536_co2,RM4539_co2,RM4541_co2,RM4543_co2,RM4513_co2,RM4500_co2,RM4534_Tza,RM4532_Tza,RM4530_Tza,RM4528_Tza,RM4527_Tza,RM4525_Tza,RM4523_Tza,RM4522_Tza,RM4521_Tza,RM4514D_Tza,RM4514C_Tza,RM4514_Tza,RM4514B_Tza,RM4514A_Tza,RM4520_Tza,RM4524_Tza,RM4526_Tza,RM4535_Tza,RM4533_Tza,RM4537_Tza,RM4536_Tza,RM4539_Tza,RM4541_Tza,RM4543_Tza,RM4513_Tza,RM4500_Tza
1,1,1,84.88338917,105.8750795,125.5519588,18.57248761,52.03923996,53.7948,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,191.5,24.25,148.5,95.75,225.25,380,31.25,132.75,33,44.25,8.25,183.5,56,320.25,528.75,495,173.75,89,722.25,2166.75,268,566.75,323.75,420.5,350.75,0
1,1,2,85.83460693,99.0904381,127.1453279,18.48781595,49.54538951,47.034,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,133.5,168.75,142.25,10,205.5,560.5,211.5,123.25,45.75,43.75,33.75,426.5,43.5,380.25,42,108.75,87.25,104.5,1160.5,2166,479,577.5,509.25,131.25,515.25,0
1,1,3,85.87152292,104.9432411,124.1435106,18.8571106,54.64544429,58.09212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.25,165.25,57.25,6,143,539,294,20.75,162,8.75,24.75,177.5,7.25,45.25,373,393.5,459,46.5,2231.25,394.25,530.25,181,355.75,331,695,0
1,1,4,86.77254133,117.6289905,118.4882065,18.99859758,59.64946351,77.95764,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,175.75,178.5,12.25,165.75,173.5,179.75,127.5,130.5,45.5,84.5,95.75,72.5,60.75,333,279.25,383.5,16.75,47.25,1124.75,1141,893,330.75,192.25,315,343,0
1,1,5,90.77490256,121.135417,117.2517125,20.19978873,56.52316742,112.51224,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,174.75,129.25,5,127.5,189.75,293,297.25,31.75,12.25,8.5,96,82,58.75,68.5,408.25,173.25,327.75,421.25,564.5,776.25,1952.75,827,522.5,230.75,765.25,0
1,1,6,88.60053267,107.6344512,122.6468163,19.48626662,55.66727994,65.53116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,113.75,29.75,133,206.5,548.5,68,171,12.25,131.25,95.5,51.75,22.25,386.5,379.75,377.5,401,397.25,2262.25,407.5,522,1270.5,230,131.25,350.5,0
1,1,7,85.5713405,99.10721914,128.6646386,18.57446277,47.69887131,45.95184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,14.75,44.25,145,4.75,180.5,381,218.75,89.25,166,127.5,18.75,73.5,68.25,67,494,83.75,333,46.5,708.75,1400,272.25,799.75,584.5,420.75,319.75,0
1,1,8,84.30304445,98.44681402,127.2860185,18.47095088,49.44895608,42.8895,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,153.5,39,13,189.75,1105,145.5,50.25,44.75,128,9,187,97.5,14.75,191.5,95.75,441,47.25,866.75,425,505.25,193.75,337.5,566.25,420.25,0
1,1,9,88.01414628,106.0079383,120.9957351,19.18554037,51.36563081,72.50256,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.25,118.5,9.75,138,13.5,551.25,247,136.5,55.25,141.5,107,437,17.25,313.5,368.25,425.5,56,647,840,608.5,929.5,488,332.5,312.25,561.25,0
1,1,10,85.95206919,103.7818283,127.3691826,18.7354646,50.38159485,56.42838,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,15.25,122.5,24.25,47,187,381,91.5,36.75,155.75,28.75,5.5,179.5,50.75,370.5,454.25,286.5,626.75,573.75,660.5,1019.75,535.5,265.75,389.5,533.75,809.75,0
