num_zones,num_iterations,occSch,hc,cc,bb,fn,lt,eq,RM4534_sensor,RM4532_sensor,RM4530_sensor,RM4528_sensor,RM4527_sensor,RM4525_sensor,RM4523_sensor,RM4522_sensor,RM4521_sensor,RM4514D_sensor,RM4514C_sensor,RM4514_sensor,RM4514B_sensor,RM4514A_sensor,RM4520_sensor,RM4524_sensor,RM4526_sensor,RM4535_sensor,RM4533_sensor,RM4537_sensor,RM4536_sensor,RM4539_sensor,RM4541_sensor,RM4543_sensor,RM4513_sensor,RM4500_sensor,RM4534_co2,RM4532_co2,RM4530_co2,RM4528_co2,RM4527_co2,RM4525_co2,RM4523_co2,RM4522_co2,RM4521_co2,RM4514D_co2,RM4514C_co2,RM4514_co2,RM4514B_co2,RM4514A_co2,RM4520_co2,RM4524_co2,RM4526_co2,RM4535_co2,RM4533_co2,RM4537_co2,RM4536_co2,RM4539_co2,RM4541_co2,RM4543_co2,RM4513_co2,RM4500_co2,RM4534_Tza,RM4532_Tza,RM4530_Tza,RM4528_Tza,RM4527_Tza,RM4525_Tza,RM4523_Tza,RM4522_Tza,RM4521_Tza,RM4514D_Tza,RM4514C_Tza,RM4514_Tza,RM4514B_Tza,RM4514A_Tza,RM4520_Tza,RM4524_Tza,RM4526_Tza,RM4535_Tza,RM4533_Tza,RM4537_Tza,RM4536_Tza,RM4539_Tza,RM4541_Tza,RM4543_Tza,RM4513_Tza,RM4500_Tza
1,2,1,30.2305421,142.117323,118.0930416,61.99165583,52.03923996,53.7948,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,0,0,0,0,0,0,241.25,25,209.25,133,272.75,326,34.5,181.5,41.25,58.25,12.5,288.5,98.25,405.25,653.25,579.5,174.5,88.75,729.25,2165.75,253,575.5,337.25,368.25,338,0
1,2,2,59.47508012,162.329437,137.6125061,66.56146091,49.54538951,47.034,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,157,170.5,178.5,13.5,226.25,440.25,240,155,49.75,57.25,37.25,431.5,70,462.25,47.75,109.25,88.5,107.5,1158,2165.25,447.5,599.75,614.75,77.25,401,0
1,2,3,88.38756794,187.2011608,149.8543186,71.06696139,54.64544429,58.09212,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.25,163.5,70.75,6.25,173.25,401,351,28,176,14.25,33.75,187.25,10,45.5,387.75,411.75,500.25,46.25,2225.5,255,503,184.5,381,327.25,631.25,0
1,2,4,65.28402374,179.1947269,135.4606509,66.67079774,59.64946351,77.95764,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,205,187.25,13,230,227.75,129.75,145.75,169,56,149.5,125.75,94,122.5,463,295.25,422.25,16.75,47.25,1123.25,1164.75,854,354,217.25,316.5,334,0
1,2,5,60.07828007,183.0860921,130.2733017,69.95830713,56.52316742,112.51224,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.75,0,0,0,0,217,132.25,6.25,180.75,253.75,217.75,376.5,52.75,14.5,12.25,140,124,109.75,82.75,492.25,173.75,438.75,442.75,580.75,630.75,1955.75,828,549,150.5,521.75,0
1,2,6,66.43465015,178.5249113,143.2715047,71.4419015,55.66727994,65.53116,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.25,114,50.5,173.25,251.75,437.75,80,250.25,14.5,223.25,140.5,65,30.75,515,419.5,454.75,445,416.25,2277,251.25,508.75,1278.75,250.25,119.25,336.5,0
1,2,7,47.51821772,153.1518714,131.3355102,66.03892131,47.69887131,45.95184,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.75,0,0,0,0,19,46.75,219,5.75,204.75,321.5,274.75,122,198.25,199.25,29,99.5,108,84.5,549.75,85.5,348.5,46.5,721,1061,257,801.75,602.5,361.5,248.5,0
1,2,8,46.60069211,154.8105132,128.9053399,65.7994348,49.44895608,42.8895,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.75,148.5,50.75,14.5,219.75,737.5,146.75,59.75,43.25,174,12,193,142,15,191,104,454.5,47.5,860.75,292.5,472,192.75,340,414,341.75,0
1,2,9,52.51591322,169.6102179,134.1821995,67.97746526,51.36563081,72.50256,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,121.25,14.25,188.5,16.75,427.5,299,200,61,239.5,143,437,31.5,365.5,396.75,437.75,56,783.5,838.75,595,937.5,576.75,362.25,232.25,460.5,0
1,2,10,48.61693014,166.1710231,135.6902841,66.10381699,50.38159485,56.42838,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.25,0,0,0,0,0,0,18.5,120.5,32.75,64.25,217.25,309.25,89.5,49.5,167.75,47,9.5,188,84,436.25,549,302.75,742,607.5,661,1021.5,508,270.25,406.25,358.5,529,0
1,3,1,37.90023922,153.2137225,126.4669337,63.42460092,52.03923996,53.7948,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.75,0,0,0,0,0,0,237,28.5,152.25,128.75,270.75,325.75,32.5,177.5,40.5,57.5,12.75,291,100.5,408.75,647,580.5,174.5,88.75,729.25,2166.25,253,574.25,336,367,337,0
1,3,2,41.62506815,150.0963422,128.6235202,63.1664937,49.54538951,47.034,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.75,0,0,0,0,0,0,158.75,235,147.25,15.25,231.5,443.5,245,161,48.75,60.25,37.5,431.5,74,462,46.25,109.5,88,108,1158,2165.25,449,599,618.75,80.5,406.25,0
1,3,3,58.86257454,169.3550141,141.0949492,68.91161653,54.64544429,58.09212,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.25,259.5,58,6.25,186,419.75,368,31.25,186.75,14.75,36,188.75,10.75,45.75,399,417,517.25,46.25,2253.25,256.75,509.5,187,380,327,631.75,0
1,3,4,35.21586637,155.7953392,121.2288324,62.66128253,59.64946351,77.95764,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,214.5,287.75,12.75,249.75,240.5,136.25,151.25,173.25,59.75,166.25,128,101.75,133.25,490.25,301.25,430.25,16.75,47.25,1123.25,1164.75,854.5,357.25,226.75,317,336,0
1,3,5,54.67963216,175.1420875,126.6681901,68.6105547,56.52316742,112.51224,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.75,0,0,0,0,220.75,169.25,5.5,181.5,256.75,219,378.5,53.5,14.5,12.5,140.25,124.75,110,80.25,493.75,173.75,434.75,440.25,580.75,631.25,1955.5,828,547.25,152,525.75,0
1,3,6,53.21358032,160.0516023,128.3423013,66.71301755,55.66727994,65.53116,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.5,151.5,31.5,171.5,250.5,433.25,82,247.5,13.5,222.75,143.25,63.25,31,507,414.5,448.75,444.25,415.25,2272,250,506,1278.75,247.25,118.75,337,0
1,3,7,73.86898576,173.8317995,152.3534963,69.86901602,47.69887131,45.95184,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.75,0,0,0,0,18.75,57.5,151,5.5,203,314.5,267.5,116.25,194.25,193.5,28.25,95,104.25,82,542,85,347,46.5,717.75,1055.75,254.75,801.75,600,353.25,241.25,0
1,3,8,40.38263384,149.6419997,127.9446378,64.81898633,49.44895608,42.8895,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5,182.75,36.25,15,219.75,737.25,147.25,60,43.25,175.25,11.5,193.25,140.5,15,192.25,100.5,450.5,47.5,860.75,292.25,472.25,192.75,338.75,413.75,340.75,0
1,3,9,46.33437843,157.2133524,126.7375293,65.36639659,51.36563081,72.50256,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,157,10,189.5,15.25,423.75,299,201.75,60.75,240.75,142.5,436.75,30.25,365,396,435.5,55.5,777.5,838,595.25,938.25,579,362.25,232.75,456.25,0
1,3,10,39.75952965,155.5089512,131.26639,65.23984345,50.38159485,56.42838,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.5,0,0,0,0,0,0,18,195.25,24.5,64.75,220.75,318.5,90.75,51.25,173.75,49.5,9.5,190.25,91.5,445,572.5,307,762.25,609.25,661.5,1021.75,511.25,274.75,406.75,373.5,541.5,0
1,4,1,32.05307241,150.2407785,126.936311,63.83696588,52.03923996,53.7948,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.25,0,0,0,0,0,0,237,28.5,205.5,97.75,267.75,324.25,34.5,180.25,41.25,58.75,12.25,285.25,96.75,401.25,650,575.5,174.5,88.75,729.5,2166.25,252.75,575.25,334.25,366.5,337.25,0
1,4,2,37.04940213,145.9290033,128.1211733,63.28528698,49.54538951,47.034,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5,0,0,0,0,0,0,159.25,239.5,180.75,10.25,230.25,445.5,245.5,162,49.5,60.75,37.25,431.25,74.25,461.5,46.25,109.5,88,108,1158,2165.25,448,600,621.75,82.25,406.5,0
1,4,3,56.96210094,167.9411178,142.5385192,69.49392482,54.64544429,58.09212,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,263,72,5.5,185.25,421.5,369.5,31.5,186.75,15.25,36,189.5,10.75,45.75,400.75,420.25,519.25,46.25,2255.25,256.75,509.5,187.5,382.5,327.25,633.75,0
1,4,4,45.88905179,163.451168,125.8882653,63.71833926,59.64946351,77.95764,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,211.25,274.75,13.5,168.5,234,133.5,148,171.25,59.5,158.25,126,97.25,127,478.75,296.75,427,16.75,47.25,1123.25,1164.75,855,356.25,224.75,317,335.75,0
1,4,5,65.45425559,190.9262586,139.8311811,71.65159058,56.52316742,112.51224,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.75,0,0,0,0,217,168.25,6.25,136,249.5,215.25,375.5,52.75,14.25,12.25,137.25,123.5,109.5,81.5,490.5,173.75,431.5,441.25,581.25,631.5,1956.25,828,547.25,148.75,511.5,0
1,4,6,64.96597723,174.4693258,142.8106127,70.58494542,55.66727994,65.53116,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,151.75,49.5,133.5,248.25,434.25,81.25,249,14,223.75,142.5,64.5,31.25,512.75,415.75,452.5,447.5,416.5,2277,250.25,508,1279.75,247.5,118.25,336.5,0
1,4,7,43.97389242,149.2747035,131.3794503,65.37323072,47.69887131,45.95184,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.75,0,0,0,0,19,63.5,221.25,5.25,205.25,321.5,275,122.75,199,199.5,29,99.75,109,84.25,552.75,85.5,348.5,46.5,721.75,1061,257.75,801.75,602.25,361.25,249,0
1,4,8,49.66611334,162.7879046,142.9794527,69.64283333,49.44895608,42.8895,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5,184.5,51.25,10,218.5,739.25,148,60.5,43.5,174.75,12,193.25,142.75,15,191.25,100.75,451,47.5,860.75,292.25,472.5,193.5,339.75,414.5,341.75,0
1,4,9,51.37717982,159.1409441,127.5953699,65.11805023,51.36563081,72.50256,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,156.25,14.25,144.25,16.5,422,298.5,201,61.5,239.75,143,436.5,31.75,364.25,398.25,436.5,55.75,784.25,839.5,595.25,937.5,575.5,362.25,232.5,457.75,0
1,4,10,41.18310585,161.7903804,137.5963117,67.29622024,50.38159485,56.42838,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,18.25,197.75,33.25,49.25,220.25,319,91,51,173.75,50,9.5,190.5,92.5,445,578,308,765.75,611.75,662,1021.75,511.5,275.75,407,377,542,0
