Timestamp,203_CO2,204_CO2,111_CO2,308_CO2,307_CO2,205_CO2,310_CO2,202_CO2,112_CO2,206_CO2,306_CO2,305_CO2,105_CO2,201_CO2,109_CO2,107_CO2,102_CO2,311_CO2,301_CO2,104_CO2
2019-04-24 0:00,754.5787354,783.8827515,518.6813354,639.8046265,830.7692261,815.6288452,551.8925781,796.5811768,631.9902344,578.7545776,379.9755859,379.9755859,472.771698,830.7692261,612.942627,581.6849976,560.6837769,662.7594604,445.9096375,558.7301636
2019-04-24 1:00,750.6715088,786.8131714,513.7973022,635.8974609,833.699585,813.6752319,549.9169922,796.538269,657.0625,581.6849976,379.9755859,379.9755859,477.6557007,830.7692261,615.8729858,572.0008545,573.6751709,659.0161133,463.9804993,557.7533569
2019-04-24 2:00,762.8815918,781.9291382,516.7277222,635.8974609,830.7692261,816.6056519,549.9570313,795.6043701,635.8974609,582.6617432,379.9755859,379.9755859,478.6325073,832.7228394,613.020752,574.8297729,574.8473511,652.9914551,433.699646,567.032959
2019-04-24 3:00,747.7411499,778.9987793,512.8205566,635.8974609,830.7692261,811.8264771,543.5897217,789.7611694,637.8510742,578.7545776,379.9755859,379.9755859,476.678894,829.7834473,615.8729858,567.032959,580.7081909,657.8754272,411.7216187,555.7997437
2019-04-24 4:00,743.8339233,772.6495972,509.8901367,628.5714111,825.8851929,806.8376465,539.6825562,779.9755859,641.7582397,572.4171143,379.9755859,379.9755859,474.7252808,821.0012207,611.9658203,557.7443848,571.9169922,635.8974609,411.7216187,548.0390015
2019-04-24 5:00,748.7179565,766.7887573,498.6568909,626.9378662,817.5823975,802.9841309,532.0634766,786.8131714,619.7802124,569.9633789,379.9755859,379.9755859,476.678894,817.5823975,603.6630249,549.9389648,567.032959,631.9902344,410.744812,544.5665283
2019-04-24 6:00,742.3804321,769.7191772,505.9829102,620.757019,822.954834,799.0574951,537.7289429,778.0219727,593.8950195,567.032959,379.9755859,379.9755859,472.771698,817.5823975,609.0354004,553.8461914,565.5678101,635.8974609,407.8144226,543.5807495
2019-04-24 7:00,744.81073,767.765564,509.0232849,618.8034058,821.9780273,795.6043701,532.8449097,781.9291382,586.5689697,561.6605835,379.9755859,379.9755859,474.7252808,815.6288452,602.6862183,547.0085449,564.5910034,639.8046265,394.627594,537.7289429
2019-04-24 8:00,748.7179565,772.6495972,505.9829102,622.732605,823.9315796,800.9768677,538.7057495,778.9987793,576.8009644,571.9169922,379.9755859,379.9755859,468.864502,821.0012207,604.6398315,561.6605835,554.822998,634.7252808,399.0231934,542.612915
2019-04-24 9:00,757.9975586,778.9987793,501.5873108,646.6422729,824.9084473,809.7680054,578.7730103,796.5811768,591.9414063,578.7545776,379.9755859,379.9755859,466.9108887,833.699585,606.5934448,581.5083618,547.9853516,640.7814331,440.0733338,544.5665283
2019-04-24 10:00,780.9523315,799.0231934,515.7509155,697.9242554,842.979248,821.9780273,560.6837769,807.8143921,666.666626,740.9035034,379.9755859,379.9755859,476.678894,842.0025024,611.9658203,612.942627,555.7997437,656.8449707,529.4505005,551.8925781
2019-04-24 11:00,788.7667847,813.6752319,505.9829102,659.8290405,848.8400269,841.0256348,576.8009644,819.0476685,665.6898804,686.6911011,379.9755859,379.9755859,494.7496948,859.5848999,614.8961792,631.0134277,563.4830933,672.0390625,520.6593323,560.6837769
2019-04-24 12:00,791.6971436,813.6752319,502.5640869,684.7374878,867.8876953,850.7936401,579.5360107,824.9084473,625.6409912,732.600708,379.9755859,379.9755859,526.0073242,868.8644409,623.687439,655.921814,563.6678467,672.0390625,544.1026001,603.6630249
2019-04-24 13:00,794.6275635,825.8851929,509.8901367,690.5983276,875.7020874,855.6776733,589.0109863,833.699585,675.7414551,661.7826538,379.9755859,379.9755859,526.0073242,873.7484741,638.8278198,684.7374878,569.9633789,685.7142944,574.7429198,625.6409912
2019-04-24 14:00,808.7912598,825.9522705,511.8437195,663.7362671,870.8180542,862.0268555,585.5921631,840.0488892,767.0579224,652.0146484,379.9755859,379.9755859,529.9145508,871.7949219,652.9914551,660.8058472,573.8705444,676.9230957,646.6666565,678.1085205
2019-04-24 15:00,807.8143921,824.8908691,536.7521362,662.7594604,874.7252197,863.9804688,589.0109863,837.6068115,737.7315063,659.8070679,379.9755859,379.9755859,513.7973022,868.8644409,648.1958008,632.967041,556.7765503,679.8535156,589.5238343,662.7594604
2019-04-24 16:00,798.0463867,821.9780273,536.7521362,649.5726318,871.7949219,865.934082,579.7313843,830.7692261,680.8162231,615.8729858,379.9755859,379.9755859,498.6568909,866.9108276,669.5970459,613.9193726,558.7301636,676.9230957,574.8718262,651.0721436
2019-04-24 17:00,788.4467163,813.6752319,547.7293091,655.921814,867.8876953,853.7241211,581.6849976,824.9084473,673.9750977,609.0354004,379.9755859,379.9755859,491.8192749,863.0036621,664.7130737,636.8742676,559.7069702,670.7705078,643.7362367,656.9260864
2019-04-24 18:00,787.789978,805.8607788,539.7874146,652.9914551,840.0488892,851.7705078,573.8705444,814.9721069,655.921814,617.8265991,379.9755859,379.9755859,496.7032776,837.6068115,656.8986206,591.9414063,558.7301636,661.7826538,632.0146484,614.9666138
2019-04-24 19:00,782.9059448,803.9072266,534.8656006,622.7106323,827.8388062,846.8864746,563.6141968,806.1168213,639.8046265,607.5701904,379.9755859,379.9755859,490.8424988,835.6531982,651.0378418,593.8950195,559.130249,649.5726318,469.37735,616.8497925
